Rg,Spieler,Land,Pos,Verein,Alt,Geboren,90,SCA,SCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,GCA,GCA-90,AktivPass,ToterPass,Dribb.,Sc,Gef,Vert.,ET,Spiele
1,Issah Abbas\Issah-Abbas,gh GHA,DFFW,Mainz 05,22-143,1998,0.2,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,34-216,1986,13.6,2,015,2,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,30-326,1990,0.7,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
4,Ragnar Ache\Ragnar-Ache,de GER,FW,Eint Frankfurt,22-203,1998,0.4,0,000,0,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
5,Tyler Adams\Tyler-Adams,us USA,MFDF,RB Leipzig,22-002,1999,12.7,14,110,12,0,0,0,2,0,0,000,0,0,0,0,0,0,0,Spiele
6,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,27-269,1993,1.7,7,409,5,0,0,1,1,0,2,117,1,0,0,1,0,0,0,Spiele
7,Felix Agu\Felix-Agu,de GER,DFFW,Werder Bremen,21-142,1999,4.1,3,074,2,0,0,0,1,0,1,025,1,0,0,0,0,0,0,Spiele
8,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,18-324,2002,0.5,1,200,1,0,0,0,0,0,0,000,0,0,0,0,0,0,0,Spiele
9,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,25-212,1995,18.4,12,065,8,1,0,1,1,1,0,000,0,0,0,0,0,0,0,Spiele
10,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,25-303,1995,10.5,5,048,4,1,0,0,0,0,1,010,1,0,0,0,0,0,0,Spiele
11,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,28-237,1992,19.1,22,121,19,1,0,2,0,0,2,011,1,1,0,0,0,0,0,Spiele
